State,Cyber.Crimes,Rates,Year
Andhra Pradesh,1899,3.61026615969582,2020
Arunachal Pradesh,30,1.97368421052632,2020
Assam,3530,10.1465938488071,2020
Bihar,1512,1.24036095159967,2020
Chhattisgarh,297,1.01573187414501,2020
Goa,40,2.58064516129032,2020
Gujarat,1283,1.85485036865693,2020
Haryana,656,2.2458062307429,2020
Himachal Pradesh,98,1.33152173913043,2020
Jharkhand,1204,3.15844700944386,2020
Karnataka,10741,16.1518796992481,2020
Kerala,426,1.20441051738762,2020
Madhya Pradesh,699,0.834527220630372,2020
Maharashtra,5496,4.44372574385511,2020
Manipur,79,2.51592356687898,2020
Meghalaya,142,4.3558282208589,2020
Mizoram,13,1.07438016528926,2020
Nagaland,8,0.36697247706422,2020
Odisha,1931,4.24675610292501,2020
Punjab,378,1.25248508946322,2020
Rajasthan,1354,1.72242717211551,2020
Sikkim,0,0,2020
Tamil Nadu,782,1.02665091243272,2020
Telangana,5024,13.3830580713905,2020
Tripura,34,0.841584158415842,2020
Uttar Pradesh,11097,4.84733324597038,2020
Uttarakhand,243,2.14854111405836,2020
West Bengal,712,0.728612361850184,2020
Andhra Pradesh,1875,3.54777672658467,2021
Arunachal Pradesh,47,3.05194805194805,2021
Assam,4846,13.7827076222981,2021
Bihar,1413,1.14227970897332,2021
Chhattisgarh,352,1.1887875717663,2021
Goa,36,2.30769230769231,2021
Gujarat,1536,2.19178082191781,2021
Haryana,622,2.10135135135135,2021
Himachal Pradesh,70,0.944669365721997,2021
Jharkhand,953,2.46635610766046,2021
Karnataka,8136,12.1450962830273,2021
Kerala,626,1.76139561057963,2021
Madhya Pradesh,589,0.694084374263493,2021
Maharashtra,5562,4.4581596665598,2021
Manipur,67,2.11356466876972,2021
Meghalaya,107,3.24242424242424,2021
Mizoram,30,2.45901639344262,2021
Nagaland,8,0.363636363636364,2021
Odisha,2037,4.44856955667176,2021
Punjab,551,1.8125,2021
Rajasthan,1504,1.89015960789242,2021
Sikkim,0,0,2021
Tamil Nadu,1076,1.40690376569038,2021
Telangana,10303,27.2782631718295,2021
Tripura,24,0.588235294117647,2021
Uttar Pradesh,8829,3.81053085886923,2021
Uttarakhand,718,6.27622377622378,2021
West Bengal,513,0.521924916064706,2021
