Motive,2017,2018,2019,2020,2021
Personal.Revenge,628,794,1207,1470,1724
Anger,714,461,581,822,883
Fraud,12213,15051,26891,30142,32230
Extortion,906,1050,1842,2440,2883
Causing.Disrepute,1002,1212,1874,1706,1715
Prank,321,296,1385,254,240
Sexual.Exploitation,1460,2030,2266,3293,4555
Political.Motives,139,218,316,356,311
Terrorist.Activities,110,44,199,113,11
Hate against country,206,218,49,165,31
Disrupt.Public.Service,55,21,28,92,40
Sale.Purchase.illegal.drugs,8,6,10,21,14
Developing.own.bussiness,156,198,181,210,177
Spreading.Piracy,90,671,45,75,74
Psycho.or.Pervert,17,4,1,0,3
Steal.Information,10,16,93,62,40
Abetment.to.Suicide,5,2,0,0,0
Others,3756,4956,7578,8814,8043
Total,21796,27248,44546,50035,52974
proj_popln,12885.3,13233.8,13376.1,13533.9,13671.8
