S.no.,Crime_Head,Cases_Invest_21,True_cases but insufficient evidence_21,Cases_Disposed_21,Cases_Pending_21,Cases_Invest_20,True_cases but insufficient evidence_20,Cases_Disposed_20  ,Cases_Pending_20 ,Cases_Invest_19,True_cases but insufficient evidence_19,Cases_Disposed_19,Cases_Pending_19,Cases_Invest_18,True_cases but insufficient evidence_18,Cases_Disposed_18,Cases_Pending_18,Cases_Invest_17,True_cases but insufficient evidence_17,Cases_Disposed_17,Cases_Pending_17
1,Tampering computer source documents,418,52,107,311,534,91,174,360,338,90,141,196,420,126,269,150,313,91,152,161
2,Computer Related Offences,57967,18769,29988,27964,51833,6530,13811,38013,39324,5700,10257,29045,23838,4385,7785,16048,16850,4377,7155,9688
3,Cyber Terrorism,56,6,13,43,53,6,12,41,35,3,9,26,40,10,15,25,27,7,8,19
4,Publication/transmission of obscene / sexually explicit act in electronic form,12969,1907,5511,7453,10448,1331,4077,6362,6821,722,2709,4105,4791,761,2126,2662,2900,352,1187,1709
5, Decryption of Information,10,1,3,7,11,0,3,8,14,2,10,4,9,3,4,5,4,0,1,3
6,Un-authorized access/attempt to  access to protected computer system,5,1,1,4,2,0,0,2,2,0,2,0,6,0,0,6,7,0,1,6
7,Abetment to Commit Offences,8,1,5,3,2,0,1,1,1,0,0,1,3,1,2,1,2,0,0,2
8,Attempt to Commit Offences,18,1,4,14,26,1,13,13,19,1,11,8,17,1,11,6,5,0,1,4
9,Other Sections of IT Act,2433,491,1043,1390,2263,239,663,1599,3964,1450,2738,1222,2144,442,979,1164,2405,630,1245,1158
10,Total Offences under I.T. Act,73884,21229,36675,37189,65172,8198,18754,46399,50518,7968,15877,34607,31268,5729,11191,20067,22513,5457,9750,12750
11,Abetment of Suicide (Online),18,0,10,8,13,0,6,7,9,0,5,4,8,0,6,2,0,0,0,0
12,Cyber Stalking/Bullying of Women/Children,2246,87,849,1396,1614,88,553,1061,1336,78,593,737,1074,81,498,575,624,36,291,333
13,Data theft,413,151,191,222,435,54,192,243,553,162,214,339,438,116,168,270,431,57,99,332
14,Fraud,27321,6339,9507,17812,17786,2460,4553,13233,10763,1824,3373,7378,6885,1349,2369,4513,5103,879,1568,3530
15,Credit Card/Debit Card,2899,709,1144,1754,1873,229,644,1229,880,132,213,666,765,164,262,503,663,114,208,455
16,ATMs,5428,897,1853,3575,4896,640,1372,3524,3932,554,1195,2736,2858,510,1006,1852,2286,379,711,1574
17,Online Banking Fraud,9818,1985,2942,6876,6314,856,1344,4970,3229,588,953,2267,1713,353,575,1136,1056,177,309,746
18,OTP Frauds,3248,933,1168,2080,1714,326,497,1217,930,209,309,621,586,168,210,376,440,119,174,266
19,Others,5928,1815,2400,3527,2989,409,696,2293,1792,341,703,1088,963,154,316,646,658,90,166,489
20,Cheating,14022,2962,4307,9708,10385,1731,2725,7658,7692,1098,1758,5930,5865,921,1533,4332,4905,643,1087,3818
21,Forgery,939,359,483,456,1299,122,558,741,892,25,166,723,470,32,86,384,277,28,66,211
22,Defamation/Morphing,108,29,48,60,84,3,8,76,38,1,5,33,28,2,9,19,16,1,7,9
23,Fake Profile,309,61,106,203,247,17,61,186,163,22,65,98,178,42,92,86,145,9,46,99
24,Counterfeiting,23,0,1,22,22,0,2,20,19,1,6,13,15,0,1,14,13,0,2,11
25,Currency,23,0,1,22,22,0,2,20,18,1,5,13,14,0,1,13,13,0,2,11
26,Stamps,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
27,Cyber Blackmailing/Threatening,1265,104,688,577,762,52,196,565,668,71,203,465,449,31,138,310,360,16,133,226
28,Fake News on Social Media ,770,111,272,497,838,75,247,591,343,15,87,256,204,6,45,159,184,19,75,109
29,Other Offences,5527,720,2133,3390,4898,568,1855,3040,3372,239,1267,2096,2711,278,1165,1541,1769,181,761,1002
30,Total Offences under IPC,52961,10923,18595,34351,38383,5170,10956,27421,25848,3536,7742,18072,18325,2858,6110,12205,13827,1869,4135,9680
31,Gambling Act (Online Gambling),75,7,33,42,90,3,42,48,44,1,17,27,41,0,19,22,48,0,28,20
32,Lotteries Act (Online Lotteries),39,4,9,30,48,1,13,35,23,0,1,22,14,0,0,14,11,0,0,11
33,Copy Right Act,179,20,57,122,177,5,30,147,157,11,32,125,165,12,42,123,174,6,71,103
34,Trade Marks Act,14,1,1,13,16,1,3,13,13,0,2,11,13,0,0,13,13,0,1,12
35,Other SLL Crimes,178,19,57,121,102,6,22,79,66,1,13,53,54,5,16,38,43,1,11,32
36,Total Offences under SLL,485,51,157,328,433,16,110,322,303,13,65,238,287,17,77,210,289,7,111,178
37,Total Cyber Crimes,127330,32203,55427,71868,,,,,76669,11517,23684,52917,49880,8604,17378,32482,36629,7333,13996,22608
